,0
2017-04-04,102206.1321168172
2017-04-05,102206.1321168172
2017-04-06,102206.1321168172
2017-04-07,102206.1321168172
2017-04-10,102206.1321168172
2017-04-11,102206.1321168172
2017-04-12,102206.1321168172
2017-04-13,102206.1321168172
2017-04-17,102206.1321168172
2017-04-18,102206.1321168172
2017-04-19,102206.1321168172
2017-04-20,102206.1321168172
2017-04-21,102206.1321168172
2017-04-24,102206.1321168172
2017-04-25,102206.1321168172
2017-04-26,102206.1321168172
2017-04-27,102206.1321168172
2017-04-28,102206.1321168172
2017-05-01,102206.1321168172
2017-05-02,102206.1321168172
2017-05-03,102206.1321168172
2017-05-04,102206.1321168172
2017-05-05,102206.1321168172
2017-05-08,102206.1321168172
2017-05-09,102206.1321168172
2017-05-10,102206.1321168172
2017-05-11,102206.1321168172
2017-05-12,102206.1321168172
2017-05-15,102206.1321168172
2017-05-16,102206.1321168172
2017-05-17,102206.1321168172
2017-05-18,102206.1321168172
2017-05-19,102206.1321168172
2017-05-22,102206.1321168172
2017-05-23,102206.1321168172
2017-05-24,102206.1321168172
2017-05-25,102206.1321168172
2017-05-26,102206.1321168172
2017-05-30,102206.1321168172
2017-05-31,102206.1321168172
2017-06-01,102206.1321168172
2017-06-02,102206.1321168172
2017-06-05,102206.1321168172
2017-06-06,102206.1321168172
2017-06-07,102206.1321168172
2017-06-08,102206.1321168172
2017-06-09,102206.1321168172
2017-06-12,102206.1321168172
2017-06-13,102206.1321168172
2017-06-14,101997.88892967578
2017-06-15,102105.13803703662
2017-06-16,102245.53827507373
2017-06-19,102826.63892967578
2017-06-20,103280.98779899951
2017-06-21,103889.18846014378
2017-06-22,103834.30869940159
2017-06-23,103956.80869940159
2017-06-26,103732.38860967991
2017-06-27,103425.6572984769
2017-06-28,103425.6572984769
2017-06-29,103425.6572984769
2017-06-30,103425.6572984769
2017-07-03,103425.6572984769
2017-07-05,103425.6572984769
2017-07-06,103425.6572984769
2017-07-07,103425.6572984769
2017-07-10,103425.6572984769
2017-07-11,103425.6572984769
2017-07-12,103425.6572984769
2017-07-13,103425.6572984769
