symbol,entry_date,entry,exit_date,exit,bars,reason,r,pnl,mom_pct
TPR,2020-11-23,25.49,2020-11-30,24.87,4,stop,-1.0,-564.77,0.98
CVNA,2020-12-01,50.36,2020-12-02,45.85,1,stop,-2.36,-1372.31,0.99
TTD,2020-12-04,90.55,2020-12-09,88.17,3,stop,-1.0,-571.97,0.99
XYZ,2020-12-11,220.61,2020-12-28,220.61,10,stop,0.99,559.44,0.99
FANG,2021-01-25,51.02,2021-01-26,48.11,1,stop,-1.0,-573.59,0.99
AXON,2021-02-10,185.09,2021-02-16,180.38,3,stop,-1.0,-569.72,0.98
PDD,2021-02-16,211.71,2021-02-17,202.41,1,stop,-1.0,-567.04,0.98
CRWD,2021-02-11,58.42,2021-02-22,58.42,6,stop,0.49,263.91,0.99
FCX,2021-02-19,32.57,2021-02-26,31.73,5,stop,-1.0,-566.33,0.99
FANG,2021-02-25,59.41,2021-02-26,54.72,1,stop,-1.37,-774.54,0.95
EOG,2021-03-09,58.5,2021-03-16,55.63,5,stop,-1.0,-564.16,0.95
PSKY,2021-03-01,59.76,2021-03-23,80.51,16,trail-10sma,5.99,3342.75,1.0
TPL,2021-05-07,178.71,2021-05-13,170.55,4,stop,-1.0,-571.61,1.0
MRNA,2021-07-14,245.82,2021-08-11,385.14,20,trail-10sma,12.46,7076.55,1.0
HAL,2022-03-31,35.59,2022-04-05,34.43,3,stop,-1.0,-605.54,0.99
APA,2022-03-30,36.42,2022-04-06,35.18,5,stop,-1.0,-606.42,1.0
CF,2022-04-08,99.78,2022-04-11,95.68,1,stop,-1.0,-598.71,0.99
MOS,2022-04-06,63.89,2022-04-21,63.89,10,stop,0.5,298.11,1.0
SMCI,2023-02-24,9.8,2023-03-06,9.8,6,stop,-0.02,-12.17,0.96
SMCI,2023-03-09,10.4,2023-03-10,9.8,1,stop,-1.08,-643.75,0.98
PLTR,2023-07-12,16.94,2023-07-14,16.41,2,stop,-1.0,-595.58,0.99
PLTR,2023-07-31,19.0,2023-08-02,18.38,2,stop,-1.0,-592.03,0.99
CVNA,2023-09-12,10.53,2023-09-13,9.88,1,stop,-1.0,-589.27,1.0
HOOD,2024-03-14,19.13,2024-03-15,17.82,1,stop,-1.4,-823.71,0.96
VRT,2024-03-18,76.94,2024-03-19,74.8,1,stop,-1.19,-647.1,0.99
COIN,2024-03-25,276.52,2024-03-27,260.25,2,stop,-1.0,-569.39,1.0
HOOD,2024-03-27,20.54,2024-04-01,19.62,2,stop,-1.0,-576.09,0.98
VRT,2024-04-04,87.42,2024-04-05,82.37,1,stop,-1.23,-701.95,0.99
APP,2024-04-08,77.22,2024-04-10,74.71,2,stop,-1.16,-657.25,0.98
VRT,2024-05-23,104.77,2024-05-31,100.13,5,stop,-1.17,-663.49,0.99
ECHO,2024-06-03,19.49,2024-06-04,19.0,1,stop,-1.09,-566.14,0.98
ECHO,2024-06-05,19.68,2024-06-06,19.19,1,stop,-1.0,-557.92,0.97
FIX,2024-08-22,342.71,2024-08-26,334.22,2,stop,-1.0,-551.47,0.96
CVNA,2024-08-23,31.85,2024-08-29,30.3,4,stop,-1.0,-556.53,1.0
RKLB,2024-09-25,7.72,2024-10-09,9.45,10,trail-10sma,8.08,4459.77,1.0
VST,2024-11-20,154.32,2024-12-02,154.32,7,stop,-0.15,-91.83,0.98
RKLB,2024-11-06,12.3,2024-12-03,23.0,18,trail-10sma,23.24,13353.71,1.0
COHR,2024-12-04,110.47,2024-12-09,107.5,3,stop,-1.0,-639.77,0.96
TSLA,2024-12-05,362.11,2024-12-20,420.85,11,trail-10sma,6.15,3893.63,0.97
APP,2025-01-30,378.18,2025-02-03,353.51,2,stop,-1.22,-789.41,1.0
APP,2025-02-04,385.85,2025-02-05,370.75,1,stop,-1.0,-649.42,1.0
PLTR,2025-02-04,102.85,2025-02-05,100.22,1,stop,-1.0,-659.27,0.99
HOOD,2025-01-15,44.01,2025-02-11,53.31,18,trail-10sma,5.86,3843.54,0.98
CEG,2025-02-19,326.45,2025-02-20,314.33,1,stop,-1.06,-691.0,0.96
PLTR,2025-05-13,125.32,2025-05-21,125.16,6,stop,0.0,2.86,1.0
PLTR,2025-06-02,133.56,2025-06-04,128.86,2,stop,-1.0,-662.24,1.0
HOOD,2025-05-12,59.21,2025-06-13,72.56,23,trail-10sma,2.77,1833.21,1.0
